Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
QB,Deshaun Watson (44037533),Deshaun Watson,44037533,QB,4700,CLE@JAX 09/13/2026 01:00PM ET,CLE,0,
QB,Shedeur Sanders (44037534),Shedeur Sanders,44037534,QB,4700,CLE@JAX 09/13/2026 01:00PM ET,CLE,12.4,
RB,Brian Robinson Jr. (44037715),Brian Robinson Jr.,44037715,RB/FLEX,4700,ATL@PIT 09/13/2026 01:00PM ET,ATL,3.4,
RB,Braelon Allen (44037717),Braelon Allen,44037717,RB/FLEX,4700,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,4.1,
RB,Dylan Sampson (44037719),Dylan Sampson,44037719,RB/FLEX,4700,CLE@JAX 09/13/2026 01:00PM ET,CLE,5.9,
RB,Sean Tucker (44037721),Sean Tucker,44037721,RB/FLEX,4700,TB@CIN 09/13/2026 01:00PM ET,TB,5.6,Q
WR,Quentin Johnston (44038077),Quentin Johnston,44038077,WR/FLEX,4700,ARI@LAC 09/13/2026 04:25PM ET,LAC,12,
WR,Matthew Golden (44038079),Matthew Golden,44038079,WR/FLEX,4700,GB@MIN 09/13/2026 04:25PM ET,GB,5.9,
WR,Keenan Allen (44038081),Keenan Allen,44038081,WR/FLEX,4700,BAL@IND 09/13/2026 01:00PM ET,IND,10.6,
TE,Kyle Pitts Sr. (44038591),Kyle Pitts Sr.,44038591,TE/FLEX,4700,ATL@PIT 09/13/2026 01:00PM ET,ATL,12.6,
QB,Geno Smith (44037535),Geno Smith,44037535,QB,4600,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,13,
RB,Mike Washington Jr. (44037723),Mike Washington Jr.,44037723,RB/FLEX,4600,MIA@LV 09/13/2026 04:25PM ET,LV,0,
RB,Kaytron Allen (44037725),Kaytron Allen,44037725,RB/FLEX,4600,WAS@PHI 09/13/2026 04:25PM ET,WAS,0,
RB,Ray Davis (44037727),Ray Davis,44037727,RB/FLEX,4600,BUF@HOU 09/13/2026 01:00PM ET,BUF,3.8,
RB,Samaje Perine (44037729),Samaje Perine,44037729,RB/FLEX,4600,TB@CIN 09/13/2026 01:00PM ET,CIN,5.3,
RB,George Holani (44037731),George Holani,44037731,RB/FLEX,4600,NE@SEA 09/09/2026 08:20PM ET,SEA,1.9,
WR,Romeo Doubs (44038083),Romeo Doubs,44038083,WR/FLEX,4600,NE@SEA 09/09/2026 08:20PM ET,NE,11.5,
WR,Jalen Coker (44038085),Jalen Coker,44038085,WR/FLEX,4600,CHI@CAR 09/13/2026 01:00PM ET,CAR,10.2,
WR,KC Concepcion (44038087),KC Concepcion,44038087,WR/FLEX,4600,CLE@JAX 09/13/2026 01:00PM ET,CLE,0,
TE,Dalton Kincaid (44038593),Dalton Kincaid,44038593,TE/FLEX,4600,BUF@HOU 09/13/2026 01:00PM ET,BUF,11.7,
QB,Marcus Mariota (44037536),Marcus Mariota,44037536,QB,4500,WAS@PHI 09/13/2026 04:25PM ET,WAS,12.3,Q
QB,J.J. McCarthy (44037537),J.J. McCarthy,44037537,QB,4500,GB@MIN 09/13/2026 04:25PM ET,MIN,13.9,
QB,Justin Fields (44037538),Justin Fields,44037538,QB,4500,DEN@KC 09/14/2026 08:15PM ET,KC,16.3,
RB,Trevor Etienne (44037733),Trevor Etienne,44037733,RB/FLEX,4500,CHI@CAR 09/13/2026 01:00PM ET,CAR,0.7,IR
RB,Jaylen Wright (44037735),Jaylen Wright,44037735,RB/FLEX,4500,MIA@LV 09/13/2026 04:25PM ET,MIA,5.2,
RB,Ollie Gordon II (44037737),Ollie Gordon II,44037737,RB/FLEX,4500,MIA@LV 09/13/2026 04:25PM ET,MIA,3.2,Q
RB,Chris Brooks (44037739),Chris Brooks,44037739,RB/FLEX,4500,GB@MIN 09/13/2026 04:25PM ET,GB,2,
RB,Jawhar Jordan (44037741),Jawhar Jordan,44037741,RB/FLEX,4500,BUF@HOU 09/13/2026 01:00PM ET,HOU,8.2,
RB,Emmett Johnson (44037743),Emmett Johnson,44037743,RB/FLEX,4500,DEN@KC 09/14/2026 08:15PM ET,KC,0,
RB,Kaelon Black (44037745),Kaelon Black,44037745,RB/FLEX,4500,SF@LAR 09/10/2026 08:35PM ET,SF,0,
WR,Calvin Ridley (44038089),Calvin Ridley,44038089,WR/FLEX,4500,NYJ@TEN 09/13/2026 01:00PM ET,TEN,7.2,
WR,Kayshon Boutte (44038091),Kayshon Boutte,44038091,WR/FLEX,4500,BUF@HOU 09/13/2026 01:00PM ET,HOU,8.8,
WR,Jayden Higgins (44038093),Jayden Higgins,44038093,WR/FLEX,4500,BUF@HOU 09/13/2026 01:00PM ET,HOU,7.8,IR
WR,Xavier Worthy (44038095),Xavier Worthy,44038095,WR/FLEX,4500,DEN@KC 09/14/2026 08:15PM ET,KC,7.9,
