Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership
Troy Franklin,WR,DEN,KC,2.59,2.77,1.082,0.654,1.069,10.979,7.69,3800.0,0.005
Ray Davis,RB,BUF,HOU,2.55,2.57,1.032,0.68,1.008,10.186,6.01,4600.0,0.005
Tutu Atwell,WR,LAR,SF,2.43,2.72,1.113,0.907,1.119,10.781,5.69,3700.0,0.005
Elijah Moore,WR,DEN,KC,2.41,2.63,1.1,0.797,1.091,10.424,3.28,3000.0,0.005
Tyler Conklin,TE,LAC,ARI,2.39,2.71,1.112,0.895,1.134,10.741,2.69,2500.0,0.005
Lucas Krull,TE,DEN,KC,2.35,2.6,1.114,0.911,1.106,10.305,0.21,2500.0,0.005
Hunter Long,TE,JAX,CLE,2.28,2.46,1.112,0.895,1.079,9.75,3.59,2500.0,0.005
Foster Moreau,TE,NO,DET,2.27,2.51,1.108,0.865,1.106,9.948,1.45,2600.0,0.005
Beaux Collins,WR,NYG,DAL,2.22,2.52,1.104,0.832,1.135,9.988,1.37,3000.0,0.005
Corey Kiner,RB,ARI,LAC,2.19,2.27,1.051,0.718,1.037,8.997,2.07,4000.0,0.005
Cade Stover,TE,HOU,BUF,2.16,2.34,1.11,0.877,1.083,9.275,2.0,2500.0,0.005
Terrance Ferguson,TE,LAR,SF,2.1,2.33,1.104,0.835,1.11,9.235,4.94,3000.0,0.005
Jonnu Smith,TE,PIT,ATL,2.09,2.29,1.1,0.8,1.096,9.076,3.87,3000.0,0.005
Marvin Harrison Jr.,WR,ARI,LAC,2.09,2.21,1.08,0.643,1.057,8.759,7.03,5000.0,0.005
Rashod Bateman,WR,BAL,IND,2.08,2.26,1.09,0.717,1.087,8.958,4.82,3900.0,0.005
David Martin-Robinson,TE,TEN,NYJ,2.08,2.37,1.111,0.885,1.139,9.394,2.17,2500.0,0.005
Keleki Latu,TE,BUF,HOU,2.07,2.16,1.098,0.781,1.043,8.561,3.2,2500.0,0.005
Ty Chandler,RB,MIN,GB,2.03,2.28,1.12,0.494,1.123,9.037,3.23,4000.0,0.005
Josh Whyle,TE,GB,MIN,2.03,2.18,1.113,0.904,1.074,8.641,2.34,2500.0,0.005
Rasheen Ali,RB,BAL,IND,2.0,2.14,1.071,0.786,1.07,8.482,2.92,4200.0,0.005
Chris Oladokun,QB,KC,DEN,1.97,2.35,1.22,0.063,1.193,9.314,4.86,4000.0,0.005
Austin Hooper,TE,NE,SEA,1.97,2.11,1.11,0.879,1.071,8.363,2.92,2700.0,0.005
Kylen Granson,TE,PHI,WAS,1.91,2.16,1.102,0.815,1.131,8.561,2.01,2500.0,0.005
Tay Martin,WR,WAS,PHI,1.91,2.04,1.124,0.995,1.068,8.086,0.35,3000.0,0.005
Dillon Gabriel,QB,CLE,JAX,1.84,1.95,1.12,0.0,1.06,7.729,7.22,4000.0,0.005
Johnny Mundt,TE,JAX,CLE,1.79,1.91,1.105,0.84,1.067,7.57,1.44,2500.0,0.005
Cam Grandy,TE,CIN,TB,1.76,1.98,1.123,0.982,1.125,7.848,0.35,2500.0,0.005
Chris Moore,WR,WAS,PHI,1.74,1.8,1.087,0.7,1.034,7.134,4.32,3000.0,0.005
Jacardia Wright,RB,SEA,NE,1.72,1.88,1.095,1.0,1.093,7.451,8.22,4000.0,0.005
Adam Trautman,TE,DEN,KC,1.71,1.88,1.11,0.879,1.099,7.451,2.97,2700.0,0.005
DJ Giddens,RB,IND,BAL,1.67,1.71,1.025,0.686,1.024,6.778,1.75,4300.0,0.005
Mac Jones,QB,SF,LA,1.65,1.95,1.22,0.0,1.182,7.729,9.45,4000.0,0.005
Zavier Scott,RB,MIN,GB,1.57,1.65,1.052,0.723,1.051,6.54,4.67,4000.0,0.005
Davis Allen,TE,LAR,SF,1.55,1.74,1.107,0.856,1.123,6.897,2.93,2500.0,0.005
Noah Fant,TE,CIN,TB,1.54,1.7,1.094,0.753,1.104,6.738,4.73,3200.0,0.005
Jimmy Horn Jr.,WR,CAR,CHI,1.5,1.67,1.107,0.86,1.113,6.619,1.86,3000.0,0.005
Kenny Pickett,QB,LV,MIA,1.48,1.85,1.22,0.0,1.25,7.333,3.59,4000.0,0.005
George Holani,RB,SEA,NE,1.48,1.55,1.048,0.729,1.047,6.143,3.0,4600.0,0.005
Zamir White,RB,LV,MIA,1.48,1.61,1.066,0.81,1.088,6.381,1.42,4000.0,0.005
Brittain Brown,RB,CHI,CAR,1.45,1.53,1.047,0.767,1.055,6.064,6.86,4000.0,0.005
Tyson Bagent,QB,CHI,CAR,1.39,1.58,1.12,0.819,1.137,6.262,0.69,4000.0,0.005
Amar Johnson,RB,LAC,ARI,1.39,1.54,1.095,1.0,1.108,6.104,8.22,4000.0,0.005
Jalen Tolbert,WR,DAL,NYG,1.39,1.51,1.093,0.744,1.086,5.985,4.3,3500.0,0.005
Brian Robinson,RB,SF,LA,1.35,1.39,1.043,0.74,1.03,5.509,3.16,4700.0,0.005
Jelani Woods,TE,NYJ,TEN,1.34,1.55,1.116,0.925,1.157,6.143,0.99,2500.0,0.005
Konata Mumpfield,WR,LAR,SF,1.32,1.46,1.101,0.811,1.106,5.787,2.62,3200.0,0.005
Kyle Williams,WR,NE,SEA,1.27,1.35,1.1,0.8,1.063,5.351,4.68,3100.0,0.005
Will Shipley,RB,PHI,WAS,1.26,1.38,1.073,0.85,1.095,5.47,1.52,4100.0,0.005
Jamari Thrash,WR,CLE,JAX,1.22,1.29,1.107,0.857,1.057,5.113,1.54,3000.0,0.005
Dont'e Thornton Jr.,WR,LV,MIA,1.18,1.33,1.103,0.823,1.127,5.272,2.18,3300.0,0.005
Luke McCaffrey,WR,WAS,PHI,1.17,1.21,1.096,0.771,1.034,4.796,5.3,3500.0,0.005
Kendrick Bourne,WR,SF,LA,1.17,1.24,1.09,0.72,1.06,4.915,6.85,3600.0,0.005
Bo Melton,WR,GB,MIN,1.15,1.22,1.098,0.781,1.061,4.836,3.35,3000.0,0.005
Jahan Dotson,WR,PHI,WAS,1.14,1.28,1.097,0.778,1.123,5.073,3.47,3700.0,0.005
Durham Smythe,TE,CHI,CAR,1.13,1.26,1.108,0.866,1.115,4.994,0.84,2500.0,0.005
Cooper Rush,QB,BAL,IND,1.12,1.26,1.12,0.0,1.125,4.994,2.13,4000.0,0.005
Velus Jones Jr.,WR,SEA,NE,1.11,1.24,1.125,1.0,1.117,4.915,1.29,4000.0,0.005
Jalen Royals,WR,KC,DEN,1.09,1.16,1.09,0.717,1.064,4.598,1.7,3200.0,0.005
Roman Wilson,WR,PIT,ATL,1.08,1.19,1.106,0.846,1.102,4.717,6.11,3100.0,0.005
Tyler Badie,RB,DEN,KC,1.08,1.16,1.077,0.839,1.074,4.598,1.65,4000.0,0.005
Charlie Kolar,TE,BAL,IND,1.07,1.2,1.11,0.879,1.121,4.756,3.23,2500.0,0.005
Ollie Gordon II,RB,MIA,LV,1.07,1.11,1.039,0.733,1.037,4.4,4.35,4500.0,0.005
Arian Smith,WR,NYJ,TEN,1.05,1.2,1.107,0.853,1.143,4.756,1.07,3000.0,0.005
Evan Hull,RB,NO,DET,1.03,1.09,1.061,0.824,1.058,4.32,0.67,4000.0,0.005
Jack Westover,TE,NE,SEA,1.0,1.08,1.114,0.908,1.08,4.281,0.82,2500.0,0.005
James Mitchell,TE,CAR,CHI,0.98,1.09,1.116,0.927,1.112,4.32,1.86,2500.0,0.005
Tip Reiman,TE,ARI,LAC,0.95,1.03,1.109,0.875,1.084,4.082,1.44,2500.0,0.005
Jake Bobo,WR,SEA,NE,0.95,1.04,1.111,0.889,1.095,4.122,2.98,3000.0,0.005
Ashton Dulin,WR,IND,BAL,0.94,1.05,1.101,0.806,1.117,4.162,2.55,3200.0,0.005
Riley Leonard,QB,IND,BAL,0.93,1.15,1.22,0.0,1.237,4.558,10.66,4400.0,0.005
Anthony Richardson,QB,IND,BAL,0.89,1.09,1.22,0.823,1.225,4.32,1.67,4900.0,0.005
Efton Chism III,WR,NE,SEA,0.86,0.92,1.111,0.885,1.07,3.646,3.88,3000.0,0.005
LeQuint Allen Jr.,RB,JAX,CLE,0.84,0.88,1.066,0.84,1.048,3.488,1.03,4300.0,0.005
Nate Adkins,TE,DEN,KC,0.83,0.92,1.113,0.905,1.108,3.646,3.74,2500.0,0.005
Kene Nwangwu,RB,NYJ,TEN,0.79,0.84,1.039,0.746,1.063,3.329,1.08,4000.0,0.005
Dyami Brown,WR,JAX,CLE,0.79,0.83,1.087,0.694,1.051,3.29,5.36,3200.0,0.005
Joshua Dobbs,QB,NE,SEA,0.78,0.92,1.22,0.714,1.179,3.646,0.6,4000.0,0.005
Mitchell Evans,TE,CAR,CHI,0.72,0.8,1.104,0.832,1.111,3.171,3.21,2600.0,0.005
Ben Yurosek,TE,MIN,GB,0.71,0.8,1.111,0.888,1.127,3.171,0.89,2500.0,0.005
Brycen Tremayne,WR,CAR,CHI,0.71,0.79,1.105,0.839,1.113,3.131,2.62,3000.0,0.005
Trent Sherfield,WR,ARI,LAC,0.69,0.75,1.118,0.942,1.087,2.973,1.02,3000.0,0.005
Mason Rudolph,QB,PIT,ATL,0.64,0.72,1.12,0.0,1.125,2.854,4.61,4000.0,0.005
Jalin Hyatt,WR,NYG,DAL,0.64,0.72,1.088,0.703,1.125,2.854,2.21,3000.0,0.005
Tim Patrick,WR,JAX,CLE,0.63,0.67,1.095,0.761,1.063,2.656,5.58,3000.0,0.005
Charlie Woerner,TE,ATL,PIT,0.63,0.7,1.101,0.807,1.111,2.774,1.99,2500.0,0.005
Jackson Hawes,TE,BUF,HOU,0.62,0.65,1.108,0.863,1.048,2.576,2.75,2500.0,0.005
Tahj Brooks,RB,CIN,TB,0.6,0.64,1.057,0.824,1.067,2.537,0.9,4100.0,0.005
Ray-Ray McCloud,WR,NYG,DAL,0.59,0.67,1.1,0.803,1.136,2.656,3.22,3000.0,0.005
Luke Farrell,TE,SF,LA,0.57,0.61,1.111,0.892,1.07,2.418,3.14,2500.0,0.005
David Moore,WR,CAR,CHI,0.56,0.63,1.113,0.904,1.125,2.497,0.79,3000.0,0.005
Jaylin Noel,WR,HOU,BUF,0.54,0.58,1.099,0.788,1.074,2.299,4.8,3600.0,0.005
Kaleb Johnson,RB,PIT,ATL,0.54,0.57,1.061,0.832,1.056,2.259,0.91,4400.0,0.005
Elijah Arroyo,TE,SEA,NE,0.5,0.55,1.102,0.814,1.1,2.18,3.33,2600.0,0.005
Josh Williams,RB,TB,CIN,0.47,0.5,1.046,0.805,1.064,1.982,0.78,4000.0,0.005
Jordan Whittington,WR,LAR,SF,0.44,0.49,1.103,0.821,1.114,1.942,2.26,3500.0,0.005
Patrick Ricard,RB,BAL,IND,0.41,0.45,1.089,0.922,1.098,1.784,0.78,4000.0,0.005
Ke'Shawn Williams,WR,CIN,TB,0.4,0.45,1.12,0.962,1.125,1.784,0.5,3000.0,0.005
Cody White,WR,SEA,NE,0.37,0.41,1.109,0.876,1.108,1.625,4.5,3000.0,0.005
Anthony Gould,WR,IND,BAL,0.37,0.41,1.119,0.952,1.108,1.625,0.53,3000.0,0.005
Eric Saubert,TE,SEA,NE,0.35,0.39,1.104,0.836,1.114,1.546,1.17,2500.0,0.005
Robert Tonyan,TE,KC,DEN,0.35,0.38,1.117,0.934,1.086,1.506,0.78,2500.0,0.005
Tai Felton,WR,MIN,GB,0.34,0.39,1.115,0.922,1.147,1.546,0.83,3000.0,0.005
British Brooks,RB,HOU,BUF,0.34,0.35,1.028,0.734,1.029,1.387,2.1,4000.0,0.005
Savion Williams,WR,GB,MIN,0.34,0.36,1.11,0.879,1.059,1.427,2.5,3200.0,0.005
AJ Dillon,RB,PHI,WAS,0.34,0.37,1.065,0.828,1.088,1.467,0.41,4000.0,0.005
Payne Durham,TE,TB,CIN,0.33,0.38,1.115,0.922,1.152,1.506,0.74,2500.0,0.005
Bryce Oliver,WR,TEN,NYJ,0.33,0.38,1.111,0.887,1.152,1.506,1.27,3000.0,0.005
Reggie Gilliam,RB,BUF,HOU,0.33,0.35,1.088,0.945,1.061,1.387,1.11,4000.0,0.005
Dameon Pierce,RB,KC,DEN,0.32,0.33,1.046,0.772,1.031,1.308,0.88,4000.0,0.005
Jonathan Mingo,WR,DAL,NYG,0.3,0.33,1.121,0.967,1.1,1.308,1.57,3100.0,0.005
Britain Covey,WR,PHI,WAS,0.27,0.31,1.103,0.822,1.148,1.229,1.51,3000.0,0.005
Austin Trammell,WR,JAX,CLE,0.27,0.29,1.093,0.746,1.074,1.149,2.18,3000.0,0.005
Tyler Goodson,RB,IND,BAL,0.24,0.26,1.068,0.861,1.083,1.031,0.58,4000.0,0.005
Tim Jones,WR,JAX,CLE,0.22,0.23,1.114,0.914,1.045,0.912,1.77,3000.0,0.005
Kendall Milton,RB,CIN,TB,0.2,0.22,1.095,1.0,1.1,0.872,8.22,4000.0,0.005
Frank Gore Jr.,RB,BUF,HOU,0.2,0.22,1.095,0.96,1.1,0.872,1.13,4000.0,0.005
Hassan Haskins,RB,LAC,ARI,0.17,0.18,1.053,0.804,1.059,0.713,1.25,4000.0,0.005
Kalel Mullings,RB,TEN,NYJ,0.15,0.17,1.084,0.958,1.133,0.674,0.21,4000.0,0.005
Jared Wiley,TE,KC,DEN,0.15,0.16,1.114,0.912,1.067,0.634,0.99,2500.0,0.005
Colson Yankoff,TE,WAS,PHI,0.15,0.16,1.116,0.926,1.067,0.634,0.84,2500.0,0.005
Derius Davis,WR,LAC,ARI,0.14,0.15,1.117,0.939,1.071,0.595,0.58,3000.0,0.005
Roschon Johnson,RB,CHI,CAR,0.14,0.15,1.087,0.967,1.071,0.595,0.47,4000.0,0.005
Pharaoh Brown,TE,ARI,LAC,0.13,0.14,1.113,0.906,1.077,0.555,0.94,2500.0,0.005
DeeJay Dallas,RB,JAX,CLE,0.12,0.13,1.08,0.916,1.083,0.515,0.94,4000.0,0.005
Jalen Brooks,WR,ARI,LAC,0.12,0.13,1.105,0.838,1.083,0.515,2.36,3000.0,0.005
Chris Manhertz,TE,NYG,DAL,0.09,0.1,1.116,0.925,1.111,0.396,0.85,2500.0,0.005
Jaylin Lane,WR,WAS,PHI,0.08,0.08,1.092,0.735,1.0,0.317,2.71,3100.0,0.005
Trevor Etienne,RB,CAR,CHI,0.08,0.08,1.06,0.833,1.0,0.317,1.19,4500.0,0.005
Xavier Smith,WR,LAR,SF,0.07,0.08,1.101,0.805,1.143,0.317,3.61,3000.0,0.005
Skyy Moore,WR,SF,LA,0.07,0.08,1.116,0.926,1.143,0.317,1.24,3000.0,0.005
Carter Runyon,TE,LV,MIA,0.06,0.06,1.108,0.864,1.0,0.238,0.75,2500.0,0.005
Zach Wilson,QB,MIA,LV,0.06,0.07,1.12,0.543,1.167,0.277,0.83,4000.0,0.005
Dylan Drummond,WR,ATL,PIT,0.06,0.06,1.084,0.672,1.0,0.238,2.44,3000.0,0.005
Braxton Berrios,WR,HOU,BUF,0.04,0.04,1.096,0.765,1.0,0.159,3.85,3000.0,0.005
Nick Westbrook-Ikhine,WR,MIA,LV,0.04,0.04,1.101,0.808,1.0,0.159,1.77,3700.0,0.005
Blake Whiteheart,TE,CLE,JAX,0.03,0.03,1.114,0.914,1.0,0.119,0.54,2500.0,0.005
Alex Bachman,WR,LV,MIA,0.03,0.04,1.117,0.933,1.333,0.159,0.66,3000.0,0.005
Ronnie Rivers,RB,LAR,SF,0.02,0.02,1.058,0.833,1.0,0.079,1.36,4000.0,0.005
Tylan Wallace,WR,BAL,IND,0.02,0.02,1.111,0.885,1.0,0.079,3.15,3000.0,0.005
Ryan Miller,WR,TB,CIN,0.01,0.0,1.117,0.937,0.0,0.0,3.01,3000.0,0.005
Dylan Laube,RB,LV,MIA,0.01,0.01,1.065,0.843,1.0,0.04,0.93,4000.0,0.005
Craig Reynolds,RB,DET,NO,0.01,0.01,1.073,0.911,1.0,0.04,0.18,4000.0,0.005
Ben Skowronek,WR,PIT,ATL,0.01,0.01,1.116,0.926,1.0,0.04,2.35,3000.0,0.005
Deven Thompkins,WR,ATL,PIT,0.01,0.01,1.112,0.897,1.0,0.04,1.8,3000.0,0.005
KhaDarel Hodge,WR,ATL,PIT,0.01,0.01,1.079,0.631,1.0,0.04,2.16,3000.0,0.005
Julius Chestnut,RB,TEN,NYJ,0.01,0.01,1.076,0.898,1.0,0.04,0.64,4000.0,0.005
E.J. Jenkins,TE,PHI,WAS,0.0,0.0,1.125,1.0,1.0,0.0,6.09,2500.0,0.005
Justin Shorter,TE,LV,MIA,0.0,0.0,1.125,1.0,1.0,0.0,0.0,3000.0,0.005
Princeton Fant,TE,DAL,NYG,0.0,0.0,1.125,1.0,1.0,0.0,6.09,2500.0,0.005
Nick Kallerup,TE,SEA,NE,0.0,0.0,1.104,0.833,1.0,0.0,0.0,2500.0,0.005
Thomas Fidone II,TE,NYG,DAL,0.0,0.0,1.125,1.0,1.0,0.0,6.09,2500.0,0.005
Cameron Latu,TE,PHI,WAS,0.0,0.0,1.125,1.0,1.0,0.0,0.0,2500.0,0.005
Brayden Willis,TE,SF,LA,0.0,0.0,1.119,0.956,1.0,0.0,0.0,2500.0,0.005
Teagan Quitoriano,TE,ATL,PIT,0.0,0.0,1.125,1.0,1.0,0.0,0.0,2500.0,0.005
Ko Kieft,TE,TB,CIN,0.0,0.0,1.125,1.0,1.0,0.0,0.0,2500.0,0.005
Feleipe Franks,TE,ATL,PIT,0.0,0.0,1.125,1.0,1.0,0.0,0.08,2500.0,0.005
Nikola Kalinic,TE,CHI,CAR,0.0,0.0,1.125,1.0,1.0,0.0,0.0,2500.0,0.005
Simi Fehoko,WR,ARI,LAC,0.0,0.0,1.125,1.0,1.0,0.0,0.0,3000.0,0.005
Hayden Rucci,TE,MIA,LV,0.0,0.0,1.125,1.0,1.0,0.0,6.09,2500.0,0.005
Jarquez Hunter,RB,LAR,SF,0.0,0.0,1.095,1.0,1.0,0.0,8.22,4000.0,0.005
Brady Russell,RB,SEA,NE,0.0,0.0,1.095,0.983,1.0,0.0,0.0,4000.0,0.005
Dalevon Campbell,WR,CAR,CHI,0.0,0.0,1.125,1.0,1.0,0.0,7.32,3000.0,0.005
Chris Blair,WR,ATL,PIT,0.0,0.0,1.125,1.0,1.0,0.0,7.32,3000.0,0.005
Devin Duvernay,WR,CHI,CAR,0.0,0.0,1.114,0.915,1.0,0.0,0.81,3000.0,0.005
Myles Price,WR,MIN,GB,0.0,0.0,1.125,1.0,1.0,0.0,0.0,3000.0,0.005
Dalen Cambre,WR,NYG,DAL,0.0,0.0,1.125,1.0,1.0,0.0,0.0,3000.0,0.005
Kameron Johnson,WR,TB,CIN,0.0,0.0,1.104,0.831,1.0,0.0,3.97,3000.0,0.005
LaJohntay Wester,WR,BAL,IND,0.0,0.0,1.125,1.0,1.0,0.0,0.0,3000.0,0.005
Jeshaun Jones,WR,MIN,GB,0.0,0.0,1.125,1.0,1.0,0.0,7.32,3000.0,0.005
Coleman Owen,WR,IND,BAL,0.0,0.0,1.115,0.921,1.0,0.0,0.0,3000.0,0.005
Dareke Young,WR,SEA,NE,0.0,0.0,1.116,0.924,1.0,0.0,1.48,3000.0,0.005
Kaden Davis,WR,CLE,JAX,0.0,0.0,1.125,1.0,1.0,0.0,7.32,3000.0,0.005
Charlie Jones,WR,CIN,TB,0.0,0.0,1.121,0.969,1.0,0.0,0.0,3000.0,0.005
Jalen Moreno-Cropper,WR,DAL,NYG,0.0,0.0,1.125,1.0,1.0,0.0,0.0,3000.0,0.005
Tom Kennedy,WR,DET,NO,0.0,0.0,1.095,0.758,1.0,0.0,3.1,3000.0,0.005
Laquon Treadwell,WR,IND,BAL,0.0,0.0,1.125,1.0,1.0,0.0,0.0,3000.0,0.005
River Cracraft,WR,WAS,PHI,0.0,0.0,1.125,1.0,1.0,0.0,0.0,3000.0,0.005
Nikko Remigio,WR,KC,DEN,0.0,0.0,1.12,0.963,1.0,0.0,0.86,3000.0,0.005
Dominic Lovett,WR,DET,NO,0.0,0.0,1.125,1.0,1.0,0.0,0.0,3000.0,0.005
Jacob Saylors,RB,DET,NO,0.0,0.0,1.085,0.958,1.0,0.0,0.33,4000.0,0.005
Isaac Guerendo,RB,SF,LA,0.0,0.0,1.095,1.0,1.0,0.0,0.0,4000.0,0.005
Travis Homer,RB,CHI,CAR,-0.0,-0.0,1.09,0.982,1.0,-0.0,0.07,4000.0,0.005
Sione Vaki,RB,DET,NO,0.0,0.0,1.09,0.979,1.0,0.0,0.14,4000.0,0.005
Lew Nichols III,RB,PIT,ATL,0.0,0.0,1.095,1.0,1.0,0.0,8.22,4000.0,0.005
Robbie Ouzts,RB,SEA,NE,0.0,0.0,1.095,0.944,1.0,0.0,0.0,4000.0,0.005
Trey Sermon,RB,PIT,ATL,0.0,0.0,1.095,1.0,1.0,0.0,0.0,4000.0,0.005
Drew Lock,QB,SEA,NE,-0.04,-0.05,1.22,0.67,1.25,-0.198,0.45,4000.0,0.005
Kedon Slovis,QB,ARI,LAC,-0.04,-0.04,1.12,0.994,1.0,-0.159,0.06,4000.0,0.005
Nick Mullens,QB,JAX,CLE,-0.05,-0.06,1.32,0.88,1.2,-0.238,0.33,4000.0,0.005
Kyle Allen,QB,DET,NO,-0.12,-0.13,1.12,0.838,1.083,-0.515,0.07,4000.0,0.005
Jalen Milroe,QB,SEA,NE,-0.91,-1.02,1.12,1.0,1.121,-4.043,1.27,4000.0,0.005
