Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership
Trey Lance,QB,LAC,ARI,6.86,10.13,1.45,0.0,1.477,40.151,3.9,4000.0,0.005
Malik Davis,RB,DAL,NYG,6.83,7.8,1.122,0.646,1.142,30.916,4.81,4300.0,0.005
Isaac TeSlaa,WR,DET,NO,6.73,7.42,1.105,0.839,1.103,29.409,5.61,3900.0,0.005
Marcus Mariota,QB,WAS,PHI,6.66,9.17,1.45,0.0,1.377,36.346,8.05,4500.0,0.005
Tyler Huntley,QB,BAL,IND,6.64,8.8,1.32,0.0,1.325,34.879,7.31,4300.0,0.005
Jerry Jeudy,WR,CLE,JAX,6.61,9.01,1.435,0.684,1.363,35.711,5.22,4100.0,0.005
Mo Alie-Cox,TE,IND,BAL,6.57,7.35,1.109,0.874,1.119,29.132,3.17,2500.0,0.005
Cole Kmet,TE,CHI,CAR,6.56,7.27,1.097,0.777,1.108,28.815,3.71,3300.0,0.005
Theo Johnson,TE,NYG,DAL,6.55,8.72,1.291,0.726,1.331,34.562,5.82,2800.0,0.005
Travis Kelce,TE,KC,DEN,6.51,9.19,1.443,0.743,1.412,36.425,6.4,4000.0,0.005
Devontez Walker,WR,BAL,IND,6.5,7.2,1.104,0.83,1.108,28.537,6.47,3200.0,0.005
AJ Barner,TE,SEA,NE,6.5,7.05,1.091,0.732,1.085,27.943,6.56,3600.0,0.005
Demarcus Robinson,WR,SF,LA,6.48,7.5,1.194,0.754,1.157,29.727,5.63,3800.0,0.005
Mike Gesicki,TE,CIN,TB,6.45,7.14,1.103,0.823,1.107,28.3,5.58,3100.0,0.005
David Njoku,TE,CLE,JAX,6.42,6.64,1.089,0.709,1.034,26.318,5.05,3000.0,0.005
T.J. Hockenson,TE,MIN,GB,6.37,7.7,1.193,0.744,1.209,30.519,4.04,3300.0,0.005
Tyrod Taylor,QB,NYJ,TEN,6.35,9.48,1.45,0.0,1.493,37.574,8.37,4000.0,0.005
Brenton Strange,TE,JAX,CLE,6.32,7.94,1.297,0.779,1.256,31.47,4.93,3600.0,0.005
Josh Oliver,TE,MIN,GB,6.28,7.04,1.105,0.842,1.121,27.903,5.0,2800.0,0.005
Mark Andrews,TE,BAL,IND,6.25,8.14,1.299,0.793,1.302,32.263,6.79,3900.0,0.005
Isaiah Likely,TE,BAL,IND,6.25,7.48,1.195,0.762,1.197,29.647,4.1,4300.0,0.005
Rome Odunze,WR,CHI,CAR,6.24,8.12,1.29,0.719,1.301,32.184,8.69,5400.0,0.005
Xavier Hutchinson,WR,HOU,BUF,6.14,8.59,1.437,0.694,1.399,34.047,5.1,3200.0,0.005
Dylan Sampson,RB,CLE,JAX,6.05,6.65,1.12,0.553,1.099,26.358,5.6,4700.0,0.005
Jaylen Wright,RB,MIA,LV,6.02,6.73,1.12,0.504,1.118,26.675,5.52,4500.0,0.005
Aidan O'Connell,QB,LV,MIA,6.02,6.92,1.12,1.0,1.15,27.428,9.24,4000.0,0.005
Emeka Egbuka,WR,TB,CIN,5.99,7.28,1.184,0.673,1.215,28.855,8.14,6200.0,0.005
Tommy Tremble,TE,CAR,CHI,5.97,6.52,1.091,0.729,1.092,25.842,4.39,2900.0,0.005
Ja'Tavion Sanders,TE,CAR,CHI,5.95,6.53,1.096,0.765,1.097,25.882,3.84,2700.0,0.005
Kimani Vidal,RB,LAC,ARI,5.94,7.32,1.22,0.449,1.232,29.013,8.04,4800.0,0.005
Kalif Raymond,WR,DET,NO,5.85,6.45,1.103,0.827,1.103,25.565,4.5,3300.0,0.005
Raheim Sanders,RB,CLE,JAX,5.84,6.54,1.142,0.718,1.12,25.922,1.05,4000.0,0.005
Greg Dortch,WR,ARI,LAC,5.76,6.19,1.098,0.782,1.075,24.534,6.02,3400.0,0.005
Bam Knight,RB,ARI,LAC,5.73,6.32,1.12,0.475,1.103,25.05,5.9,4000.0,0.005
Xavier Restrepo,WR,TEN,NYJ,5.7,6.34,1.079,0.634,1.112,25.129,1.48,3000.0,0.005
Darren Waller,TE,MIA,LV,5.66,7.36,1.284,0.669,1.3,29.172,8.91,3200.0,0.005
Grant Calcaterra,TE,PHI,WAS,5.65,6.43,1.11,0.877,1.138,25.486,3.08,2500.0,0.005
Tre Harris,WR,LAC,ARI,5.65,6.87,1.194,0.749,1.216,27.229,2.79,3800.0,0.005
Andrei Iosivas,WR,CIN,TB,5.42,5.96,1.097,0.775,1.1,23.623,5.18,3300.0,0.005
Jake Ferguson,TE,DAL,NYG,5.36,5.77,1.084,0.675,1.076,22.87,7.11,3900.0,0.005
Keon Coleman,WR,BUF,HOU,5.36,5.57,1.093,0.74,1.039,22.077,5.67,4000.0,0.005
Calvin Austin III,WR,PIT,ATL,5.32,6.31,1.188,0.702,1.186,25.01,5.34,3700.0,0.005
Tyler Allgeier,RB,ATL,PIT,5.28,5.98,1.132,0.686,1.133,23.702,5.35,4900.0,0.005
Spencer Rattler,QB,NO,DET,5.26,6.94,1.32,0.0,1.319,27.507,6.43,4000.0,0.005
Jalen Nailor,WR,MIN,GB,5.25,5.82,1.093,0.744,1.109,23.068,6.61,4300.0,0.005
Isiah Pacheco,RB,KC,DEN,5.21,6.38,1.238,0.604,1.225,25.287,3.89,5000.0,0.005
Dawson Knox,TE,BUF,HOU,5.21,5.92,1.195,0.759,1.136,23.464,4.67,3100.0,0.005
Jordan James,RB,SF,LA,5.18,6.1,1.195,1.0,1.178,24.178,8.22,4200.0,0.005
Tanner Hudson,TE,CIN,TB,5.14,5.7,1.105,0.844,1.109,22.592,3.15,2500.0,0.005
Andy Dalton,QB,CAR,CHI,5.14,5.76,1.12,0.0,1.121,22.83,2.68,4000.0,0.005
Jordan Mason,RB,MIN,GB,5.07,5.68,1.12,0.56,1.12,22.513,5.5,5400.0,0.005
Ronnie Bell,WR,NO,DET,5.02,5.43,1.083,0.667,1.082,21.522,7.28,3000.0,0.005
Mitchell Trubisky,QB,BUF,HOU,4.88,5.66,1.22,0.0,1.16,22.434,13.06,4000.0,0.005
Michael Pittman,WR,IND,BAL,4.8,5.73,1.183,0.664,1.194,22.711,7.36,4900.0,0.005
Isaiah Davis,RB,NYJ,TEN,4.7,5.06,1.057,0.736,1.077,20.055,4.84,4200.0,0.005
Jaydon Blue,RB,DAL,NYG,4.67,5.32,1.12,0.652,1.139,21.086,4.97,4000.0,0.005
Olamide Zaccheaus,WR,CHI,CAR,4.67,5.16,1.094,0.753,1.105,20.452,4.43,3500.0,0.005
Michael Bandy,WR,DEN,KC,4.66,5.13,1.114,0.911,1.101,20.333,3.79,3000.0,0.005
Elijah Higgins,TE,ARI,LAC,4.65,5.43,1.193,0.744,1.168,21.522,3.95,2500.0,0.005
John Bates,TE,WAS,PHI,4.64,4.84,1.099,0.792,1.043,19.184,2.65,2500.0,0.005
