Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership,Game_ID,Simulated_Mean,Simulated_Median,Simulated_85th,Ceiling_95th,Ceiling_99th,Boom_Percentage
Jonathan Taylor,RB,IND,BAL,15.73,21.29,1.358,0.622,1.353,84.384,12.35,7300.0,0.005,BAL_IND,16.21,15.6,28.62,36.26,44.73,22.32
Jameis Winston,QB,NYG,DAL,7.82,9.84,1.22,0.0,1.258,39.001,16.83,4000.0,0.005,DAL_NYG,11.55,8.04,25.69,35.64,46.24,15.879999999999999
Tyler Shough,QB,NO,DET,22.2,32.16,1.45,0.0,1.449,41.656,7.55,5600.0,0.0153,DET_NO,22.14,22.13,30.01,34.6,40.12,35.72
Chase Brown,RB,CIN,TB,21.45,28.82,1.35,0.539,1.344,30.648,7.49,7100.0,0.0186,CIN_TB,21.51,21.4,29.48,34.15,38.65,31.619999999999997
Alec Pierce,WR,IND,BAL,20.01,25.93,1.286,0.69,1.296,87.15,8.3,5700.0,0.0059,BAL_IND,20.08,20.09,28.65,33.68,38.94,27.42
Derrick Henry,RB,BAL,IND,17.31,23.85,1.379,0.745,1.378,67.249,10.0,6700.0,0.007,BAL_IND,17.33,17.22,27.35,33.67,40.39,21.240000000000002
Josh Allen,QB,BUF,HOU,17.31,23.85,1.45,0.826,1.378,94.53,9.69,7000.0,0.005,BUF_HOU,17.39,17.23,27.43,33.15,39.53,21.36
Justin Fields,QB,NYJ,TEN,17.13,25.58,1.45,0.0,1.493,38.98,9.85,4500.0,0.013,NYJ_TEN,17.25,17.19,27.0,33.07,40.38,20.72
Lamar Jackson,QB,BAL,IND,18.4,24.35,1.32,0.327,1.323,96.512,8.83,6800.0,0.005,BAL_IND,18.43,18.37,27.36,32.71,38.62,22.36
Cade Otton,TE,TB,CIN,22.72,33.36,1.429,0.632,1.468,29.383,5.98,3700.0,0.0225,CIN_TB,22.79,22.9,29.02,32.63,36.3,35.839999999999996
Jalen Coker,WR,CAR,CHI,19.07,27.36,1.432,0.653,1.435,21.299,8.07,4600.0,0.0255,CAR_CHI,19.15,19.16,27.3,32.56,38.93,22.88
Matthew Stafford,QB,LAR,SF,21.77,26.76,1.22,1.0,1.229,78.118,6.76,6200.0,0.0068,LAR_SF,21.76,21.85,28.68,32.49,37.44,31.0
Tee Higgins,WR,CIN,TB,19.57,25.37,1.291,0.731,1.296,100.555,7.91,6300.0,0.005,CIN_TB,19.57,19.62,27.81,32.35,37.98,24.8
Trevor Lawrence,QB,JAX,CLE,18.85,26.5,1.45,0.935,1.406,91.01,8.32,5800.0,0.0058,CLE_JAX,18.72,18.65,27.15,32.25,37.97,21.560000000000002
Kenneth Walker III,RB,SEA,NE,18.39,27.67,1.513,0.646,1.505,34.618,8.36,6500.0,0.0158,NE_SEA,18.41,18.24,27.03,32.09,37.83,21.26
Trey McBride,TE,ARI,LAC,17.95,28.1,1.598,0.783,1.565,111.375,8.37,6800.0,0.005,ARI_LAC,18.14,18.03,26.83,31.99,37.5,21.099999999999998
Ashton Jeanty,RB,LV,MIA,17.45,26.82,1.515,0.587,1.537,46.442,8.69,6600.0,0.0114,LV_MIA,17.5,17.41,26.72,31.91,37.74,19.74
Justin Herbert,QB,LAC,ARI,18.68,27.58,1.45,0.687,1.476,109.314,7.76,6100.0,0.005,ARI_LAC,18.82,18.88,26.75,31.78,36.9,21.4
Tyrone Tracy Jr.,RB,NYG,DAL,18.73,23.52,1.226,0.583,1.256,11.098,7.66,4800.0,0.042,DAL_NYG,18.79,18.61,26.78,31.59,36.9,21.3
Theo Wease Jr.,WR,MIA,LV,24.44,31.68,1.28,0.636,1.296,9.301,4.19,3000.0,0.0675,LV_MIA,24.41,24.44,28.72,31.47,34.12,44.3
De'Von Achane,RB,MIA,LV,19.96,26.92,1.35,0.518,1.349,39.623,7.02,7000.0,0.0135,LV_MIA,19.85,19.8,27.14,31.39,36.42,23.24
Ryan Flournoy,WR,DAL,NYG,19.14,24.14,1.27,0.564,1.261,11.541,7.23,3900.0,0.0415,DAL_NYG,19.18,19.27,26.56,31.34,35.61,20.84
Drake London,WR,ATL,PIT,13.19,18.86,1.419,0.552,1.43,74.752,11.35,6500.0,0.005,ATL_PIT,13.94,13.43,24.76,31.3,39.29,14.399999999999999
Caleb Williams,QB,CHI,CAR,18.77,25.02,1.32,0.891,1.333,99.168,7.53,6300.0,0.005,CAR_CHI,18.86,18.8,26.52,31.02,36.71,21.099999999999998
Brock Purdy,QB,SF,LA,15.43,21.69,1.45,0.843,1.406,85.969,9.91,5700.0,0.005,LA_SF,15.65,15.39,25.63,30.93,38.12,16.259999999999998
Parker Washington,WR,JAX,CLE,17.77,27.04,1.57,0.558,1.522,106.918,8.06,5600.0,0.005,CLE_JAX,17.63,17.67,26.01,30.87,35.87,18.360000000000003
Dallas Goedert,TE,PHI,WAS,18.73,27.37,1.424,0.595,1.461,28.361,7.15,4100.0,0.0191,PHI_WAS,18.76,18.73,26.28,30.48,35.7,19.3
Bo Nix,QB,DEN,KC,17.75,25.46,1.45,0.975,1.434,100.912,7.5,5800.0,0.005,DEN_KC,17.87,17.93,25.65,30.16,34.97,17.1
Bryce Young,QB,CAR,CHI,18.33,26.62,1.45,0.741,1.452,47.723,7.14,5200.0,0.0111,CAR_CHI,18.23,18.25,25.63,30.05,34.66,17.04
Kyle Pitts,TE,ATL,PIT,13.79,20.01,1.44,0.719,1.451,79.31,9.94,4700.0,0.005,ATL_PIT,14.22,14.0,24.21,29.96,36.19,13.22
Jalen Hurts,QB,PHI,WAS,18.04,26.84,1.45,0.838,1.488,106.381,7.04,6600.0,0.005,PHI_WAS,18.11,18.03,25.34,29.94,34.92,16.24
A.J. Brown,WR,PHI,WAS,14.13,20.58,1.419,0.55,1.456,81.57,9.7,7100.0,0.005,PHI_WAS,14.24,13.87,24.0,29.82,36.84,12.8
Baker Mayfield,QB,TB,CIN,20.55,27.87,1.32,0.572,1.356,58.781,5.71,5900.0,0.0094,CIN_TB,20.56,20.49,26.38,29.79,33.85,21.4
Jacoby Brissett,QB,ARI,LAC,17.12,22.14,1.32,0.0,1.293,87.753,7.77,5100.0,0.005,ARI_LAC,17.18,17.35,25.02,29.53,34.42,15.14
Colston Loveland,TE,CHI,CAR,14.71,23.42,1.576,0.611,1.592,92.826,8.43,5300.0,0.005,CAR_CHI,14.94,14.6,23.8,29.21,34.81,12.16
Rhamondre Stevenson,RB,NE,SEA,14.2,16.85,1.231,0.648,1.187,66.786,8.84,5700.0,0.005,NE_SEA,14.43,14.29,23.41,28.73,35.06,11.24
Kyren Williams,RB,LAR,SF,18.7,25.65,1.362,0.651,1.372,23.185,6.26,6200.0,0.0219,LAR_SF,18.63,18.59,25.19,28.68,32.45,15.840000000000002
Kenny Gainwell,RB,PIT,ATL,13.39,15.11,1.123,0.572,1.128,58.969,9.16,5200.0,0.0051,ATL_PIT,13.75,13.41,23.09,28.52,34.99,10.4
Breece Hall,RB,NYJ,TEN,15.81,21.88,1.359,0.62,1.384,72.581,7.62,6200.0,0.006,NYJ_TEN,15.76,15.72,23.45,28.04,33.4,10.54
Romeo Doubs,WR,GB,MIN,13.93,19.22,1.431,0.647,1.38,76.179,8.08,4600.0,0.005,GB_MIN,14.3,14.0,22.77,27.76,33.32,9.86
Patrick Mahomes,QB,KC,DEN,14.69,18.98,1.32,0.838,1.292,75.228,7.77,5500.0,0.005,DEN_KC,14.9,14.84,22.73,27.58,33.36,9.139999999999999
Jaxon Smith-Njigba,WR,SEA,NE,13.11,20.45,1.568,0.548,1.56,81.054,8.28,7600.0,0.005,NE_SEA,13.52,13.39,21.82,27.13,32.15,8.16
Harold Fannin Jr.,TE,CLE,JAX,17.83,21.69,1.28,0.637,1.216,26.442,5.73,4200.0,0.0163,CLE_JAX,17.73,17.74,23.72,27.07,31.02,10.24
Davante Adams,WR,LAR,SF,15.67,20.38,1.291,0.727,1.301,80.777,6.87,6200.0,0.005,LAR_SF,15.65,15.63,22.77,27.04,32.22,8.7
Justin Jefferson,WR,MIN,GB,17.11,27.65,1.595,0.76,1.616,109.592,5.79,7300.0,0.005,GB_MIN,17.21,17.13,23.16,26.8,30.7,8.76
J.J. McCarthy,QB,MIN,GB,13.95,18.67,1.32,0.438,1.338,73.999,7.85,4500.0,0.005,GB_MIN,14.0,13.83,22.12,26.6,31.13,7.68
DJ Moore,WR,CHI,CAR,13.01,17.12,1.303,0.828,1.316,67.856,8.06,5600.0,0.005,CAR_CHI,13.21,12.92,21.58,26.6,31.55,7.08
Rashee Rice,WR,KC,DEN,13.15,20.56,1.597,0.774,1.563,81.49,7.95,6500.0,0.005,DEN_KC,13.33,13.1,21.74,26.58,31.68,7.340000000000001
Cam Ward,QB,TEN,NYJ,17.97,22.58,1.22,0.118,1.257,56.028,5.29,5100.0,0.008,NYJ_TEN,18.0,18.04,23.49,26.49,29.98,9.24
Jared Goff,QB,DET,NO,14.87,16.62,1.12,0.927,1.118,65.874,7.05,6000.0,0.005,DET_NO,14.82,14.8,21.85,26.42,31.13,7.32
Dak Prescott,QB,DAL,NYG,12.91,15.64,1.22,0.469,1.211,61.99,8.18,6400.0,0.005,DAL_NYG,13.1,12.86,21.39,26.34,31.8,7.04
Kirk Cousins,QB,ATL,PIT,13.43,16.5,1.22,0.0,1.229,65.398,7.98,5000.0,0.005,ATL_PIT,13.39,13.15,21.67,26.29,31.96,7.06
DeVonta Smith,WR,PHI,WAS,14.02,20.44,1.421,0.568,1.458,81.015,7.6,6600.0,0.005,PHI_WAS,13.87,13.77,21.58,26.16,30.88,6.800000000000001
Jameson Williams,WR,DET,NO,11.64,14.84,1.278,0.628,1.275,58.819,8.96,6000.0,0.005,DET_NO,11.74,11.23,20.43,26.16,33.09,6.52
Mitchell Trubisky,QB,BUF,HOU,4.88,5.66,1.22,0.0,1.16,22.434,13.06,4000.0,0.005,BUF_HOU,7.83,4.62,18.01,26.14,35.1,6.1
Shedeur Sanders,QB,CLE,JAX,9.41,11.81,1.32,0.461,1.255,46.809,9.84,4700.0,0.005,CLE_JAX,10.44,9.68,19.75,25.68,32.1,5.84
Tucker Kraft,TE,GB,MIN,9.47,11.66,1.277,0.616,1.231,46.215,9.87,4500.0,0.005,GB_MIN,10.28,9.42,19.67,25.58,32.6,5.66
Devaughn Vele,WR,NO,DET,14.11,18.09,1.284,0.676,1.282,19.491,6.8,3500.0,0.0184,DET_NO,14.18,14.14,21.3,25.54,29.88,5.84
James Cook,RB,BUF,HOU,10.52,13.85,1.35,0.584,1.317,54.895,9.04,7200.0,0.005,BUF_HOU,10.86,10.19,19.61,25.37,30.6,5.64
RJ Harvey,RB,DEN,KC,13.42,16.24,1.22,0.5,1.21,64.368,7.24,5400.0,0.005,DEN_KC,13.38,13.39,20.73,25.36,29.18,5.7
Geno Smith,QB,LV,MIA,14.27,17.84,1.22,0.637,1.25,70.709,6.74,4600.0,0.005,LV_MIA,14.23,14.11,21.32,25.34,29.89,5.58
Sam Darnold,QB,SEA,NE,12.84,15.59,1.22,0.871,1.214,61.792,7.82,5400.0,0.005,NE_SEA,12.78,12.55,20.81,25.33,30.48,5.4
Tua Tagovailoa,QB,MIA,LV,14.14,17.47,1.22,0.63,1.236,69.243,6.82,4800.0,0.005,LV_MIA,14.17,14.08,21.27,25.33,29.99,5.52
Michael Penix Jr.,QB,ATL,PIT,12.84,15.78,1.22,0.367,1.229,62.545,7.21,4800.0,0.005,ATL_PIT,12.82,12.77,20.05,24.81,30.01,4.66
Saquon Barkley,RB,PHI,WAS,13.36,18.68,1.369,0.628,1.398,74.039,6.87,6900.0,0.005,PHI_WAS,13.49,13.5,20.5,24.76,29.64,4.6
Jordan Love,QB,GB,MIN,12.06,14.19,1.22,0.542,1.177,56.243,7.71,5700.0,0.005,GB_MIN,12.03,11.78,19.8,24.74,30.41,4.8
Quentin Johnston,WR,LAC,ARI,12.25,16.07,1.289,0.709,1.312,63.694,7.48,4700.0,0.005,ARI_LAC,12.45,12.24,20.2,24.64,29.88,4.4799999999999995
Mike Evans,WR,TB,CIN,15.02,19.52,1.266,0.529,1.3,77.368,5.8,6100.0,0.005,CIN_TB,15.03,14.94,21.14,24.55,28.11,4.06
Rico Dowdle,RB,CAR,CHI,8.22,10.06,1.22,0.446,1.224,39.873,9.81,5200.0,0.005,CAR_CHI,9.47,8.39,18.62,24.41,31.39,4.34
George Pickens,WR,DAL,NYG,8.4,10.73,1.287,0.698,1.277,42.529,9.67,6400.0,0.005,DAL_NYG,9.56,8.48,18.63,24.39,31.04,4.4799999999999995
Travis Etienne,RB,JAX,CLE,12.79,17.36,1.385,0.741,1.357,68.807,6.98,5900.0,0.005,CLE_JAX,12.77,12.7,19.97,24.1,28.31,3.7600000000000002
D'Andre Swift,RB,CHI,CAR,13.27,16.84,1.257,0.733,1.269,66.746,6.51,6100.0,0.005,CAR_CHI,13.45,13.48,20.18,24.1,28.48,3.56
Davis Mills,QB,HOU,BUF,7.84,9.31,1.22,0.0,1.188,36.901,9.75,4200.0,0.005,BUF_HOU,8.85,7.47,17.7,23.93,30.24,3.88
Daniel Jones,QB,IND,BAL,12.96,15.92,1.22,0.113,1.228,63.099,6.62,5400.0,0.005,BAL_IND,13.09,13.04,19.86,23.89,28.48,3.7800000000000002
Sam LaPorta,TE,DET,NO,13.31,17.26,1.299,0.793,1.297,68.411,6.45,4400.0,0.005,DET_NO,13.39,13.38,19.85,23.84,28.71,3.46
Josh Jacobs,RB,GB,MIN,8.53,11.25,1.35,0.454,1.319,44.59,9.0,6300.0,0.005,GB_MIN,9.4,8.56,17.97,23.51,29.69,3.44
Marvin Mims Jr.,WR,DEN,KC,12.08,15.46,1.293,0.743,1.28,27.124,6.8,3200.0,0.0113,DEN_KC,12.2,11.94,19.21,23.49,28.2,3.2399999999999998
Garrett Wilson,WR,NYJ,TEN,7.53,12.22,1.574,0.594,1.623,48.434,9.66,5800.0,0.005,NYJ_TEN,8.61,7.36,17.47,23.48,29.54,3.46
Tory Horton,WR,SEA,NE,10.52,12.49,1.193,0.741,1.187,49.505,7.93,3400.0,0.005,NE_SEA,10.87,10.59,18.75,23.42,29.19,3.2399999999999998
Christian Watson,WR,GB,MIN,11.45,14.17,1.284,0.67,1.238,56.163,7.28,5900.0,0.005,GB_MIN,11.57,11.41,18.72,23.38,28.69,3.06
Omarion Hampton,RB,LAC,ARI,8.78,10.83,1.22,0.37,1.233,42.925,9.0,6800.0,0.005,ARI_LAC,9.41,8.55,18.12,23.38,29.12,3.44
Tre Tucker,WR,LV,MIA,8.93,11.78,1.287,0.695,1.319,46.69,8.94,4000.0,0.005,LV_MIA,9.68,9.0,17.92,23.36,29.99,3.26
Tetairoa McMillan,WR,CAR,CHI,11.59,14.92,1.285,0.679,1.287,59.136,6.86,6100.0,0.005,CAR_CHI,11.69,11.59,18.58,22.75,27.66,2.44
Drake Maye,QB,NE,SEA,14.8,20.75,1.45,0.792,1.402,82.243,4.87,6000.0,0.005,NE_SEA,14.82,14.76,19.92,22.73,26.44,1.94
Colby Parkinson,TE,LAR,SF,11.53,13.91,1.197,0.775,1.206,52.897,6.58,3500.0,0.0052,LAR_SF,11.79,11.62,18.64,22.38,26.97,2.1
Javonte Williams,RB,DAL,NYG,12.35,15.43,1.228,0.623,1.249,61.157,6.02,6300.0,0.005,DAL_NYG,12.48,12.45,18.66,22.33,26.58,1.92
Christian Kirk,WR,HOU,BUF,8.83,11.12,1.293,0.745,1.259,44.075,7.78,3000.0,0.005,BUF_HOU,9.49,8.93,17.09,22.18,27.76,2.22
Courtland Sutton,WR,DEN,KC,10.51,13.4,1.289,0.711,1.275,53.111,7.07,6000.0,0.005,DEN_KC,10.66,10.39,17.74,22.06,27.06,1.8800000000000001
Devin Singletary,RB,NYG,DAL,11.46,13.25,1.129,0.644,1.156,26.993,6.26,4000.0,0.0097,DAL_NYG,11.45,11.36,18.02,21.79,25.83,1.46
George Kittle,TE,SF,LA,7.06,8.78,1.283,0.666,1.244,34.8,8.73,4800.0,0.005,LA_SF,8.2,7.24,16.17,21.58,27.82,1.96
Chuba Hubbard,RB,CAR,CHI,10.59,12.97,1.22,0.586,1.225,51.407,6.6,5500.0,0.005,CAR_CHI,10.73,10.44,17.46,21.52,25.85,1.52
Aidan O'Connell,QB,LV,MIA,6.02,6.92,1.12,1.0,1.15,27.428,9.24,4000.0,0.005,LV_MIA,7.51,5.98,15.87,21.41,27.13,1.94
Bucky Irving,RB,TB,CIN,12.47,17.51,1.376,0.712,1.404,69.402,5.61,5700.0,0.005,CIN_TB,12.52,12.6,18.27,21.41,25.26,1.1199999999999999
Quinn Ewers,QB,MIA,LV,12.19,15.05,1.22,0.0,1.235,59.651,5.58,4000.0,0.005,LV_MIA,12.17,12.11,17.88,21.32,24.78,0.88
Chris Godwin Jr.,WR,TB,CIN,10.75,13.11,1.187,0.699,1.22,51.962,6.58,5200.0,0.005,CIN_TB,10.87,10.78,17.44,21.18,25.17,1.16
Juwan Johnson,TE,NO,DET,12.83,15.34,1.198,0.781,1.196,42.147,4.82,3700.0,0.0072,DET_NO,12.85,12.82,17.91,21.05,24.2,0.62
Jacory Croskey-Merritt,RB,WAS,PHI,9.16,10.96,1.225,0.661,1.197,43.44,7.47,5300.0,0.005,PHI_WAS,9.46,9.16,16.57,20.94,26.93,1.6199999999999999
Josh Johnson,QB,WAS,PHI,7.45,9.34,1.32,0.0,1.254,37.019,8.01,4000.0,0.005,PHI_WAS,8.28,7.53,16.01,20.91,25.35,1.2
Darren Waller,TE,MIA,LV,5.66,7.36,1.284,0.669,1.3,29.172,8.91,3200.0,0.005,LV_MIA,7.06,5.57,15.05,20.85,26.86,1.7999999999999998
Jalen McMillan,WR,TB,CIN,8.55,9.55,1.089,0.713,1.117,37.852,7.44,4400.0,0.005,CIN_TB,8.98,8.51,16.58,20.79,25.26,1.16
C.J. Stroud,QB,HOU,BUF,10.48,12.45,1.22,0.217,1.188,49.346,6.28,5200.0,0.005,BUF_HOU,10.67,10.62,16.89,20.71,25.54,1.08
Kevin Austin Jr.,WR,NO,DET,11.17,14.25,1.277,0.614,1.276,34.603,5.63,3000.0,0.0082,DET_NO,11.16,11.08,16.88,20.68,24.6,0.9199999999999999
Elic Ayomanor,WR,TEN,NYJ,13.79,20.41,1.437,0.695,1.48,18.692,4.24,3600.0,0.0216,NYJ_TEN,13.8,13.84,18.26,20.64,23.43,0.33999999999999997
Aaron Rodgers,QB,PIT,ATL,9.25,10.35,1.12,0.495,1.119,41.023,6.69,5300.0,0.005,ATL_PIT,9.6,9.35,16.41,20.63,24.98,1.0
Jaylen Warren,RB,PIT,ATL,10.68,14.53,1.354,0.583,1.36,57.59,5.76,5400.0,0.005,ATL_PIT,10.69,10.64,16.59,20.45,24.51,0.7799999999999999
Terry McLaurin,WR,WAS,PHI,11.85,16.22,1.441,0.728,1.369,64.289,5.1,5700.0,0.005,PHI_WAS,11.92,11.84,17.19,20.24,23.46,0.4
Kyler Murray,QB,ARI,LAC,17.04,24.21,1.45,0.944,1.421,95.957,1.93,5500.0,0.005,ARI_LAC,17.02,17.01,19.04,20.19,21.33,0.0
Tony Pollard,RB,TEN,NYJ,10.61,14.72,1.366,0.668,1.387,58.343,5.62,5600.0,0.005,NYJ_TEN,10.73,10.66,16.49,20.1,24.14,0.7000000000000001
Nico Collins,WR,HOU,BUF,9.55,11.96,1.286,0.687,1.252,47.404,6.61,7000.0,0.005,BUF_HOU,9.73,9.69,16.12,20.07,24.69,0.88
Jayden Daniels,QB,WAS,PHI,10.13,13.95,1.45,0.503,1.377,55.291,6.02,6500.0,0.005,PHI_WAS,10.13,10.0,16.27,20.04,24.01,0.6
Woody Marks,RB,HOU,BUF,8.99,12.2,1.35,0.478,1.357,48.355,6.93,5000.0,0.005,BUF_HOU,9.41,9.21,16.12,20.04,25.08,1.06
Dalton Kincaid,TE,BUF,HOU,8.79,9.97,1.194,0.755,1.134,39.516,6.58,4600.0,0.005,BUF_HOU,9.16,8.87,15.77,20.02,24.57,0.88
Daniel Bellinger,TE,NYG,DAL,10.95,12.49,1.107,0.854,1.141,17.913,5.37,2700.0,0.0138,DAL_NYG,11.01,11.02,16.72,20.02,23.81,0.54
Joe Flacco,QB,CIN,TB,3.17,3.88,1.22,0.0,1.224,15.379,10.24,4400.0,0.005,CIN_TB,5.89,3.25,13.81,20.0,25.55,1.26
Tyrod Taylor,QB,NYJ,TEN,6.35,9.48,1.45,0.0,1.493,37.574,8.37,4000.0,0.005,NYJ_TEN,7.33,6.29,14.75,19.97,25.51,1.2
Quinshon Judkins,RB,CLE,JAX,9.17,12.14,1.35,0.557,1.324,48.117,6.66,5500.0,0.005,CLE_JAX,9.42,9.11,16.14,19.95,24.93,0.98
Rome Odunze,WR,CHI,CAR,6.24,8.12,1.29,0.719,1.301,32.184,8.69,5400.0,0.005,CAR_CHI,7.38,6.4,15.11,19.95,25.85,1.28
Ladd McConkey,WR,LAC,ARI,8.66,10.46,1.186,0.686,1.208,41.459,6.75,5900.0,0.005,ARI_LAC,9.03,8.68,15.78,19.87,25.21,1.1400000000000001
Chimere Dike,WR,TEN,NYJ,10.11,12.39,1.189,0.712,1.226,49.108,5.96,3400.0,0.005,NYJ_TEN,10.3,10.23,16.28,19.84,23.54,0.64
Marcus Mariota,QB,WAS,PHI,6.66,9.17,1.45,0.0,1.377,36.346,8.05,4500.0,0.005,PHI_WAS,7.56,6.64,15.12,19.79,25.13,1.06
DK Metcalf,WR,PIT,ATL,9.79,12.62,1.291,0.728,1.289,50.02,6.0,5400.0,0.005,ATL_PIT,10.09,9.96,16.12,19.77,23.88,0.6799999999999999
Michael Mayer,TE,LV,MIA,10.49,13.67,1.271,0.57,1.303,23.066,5.6,2900.0,0.0117,LV_MIA,10.53,10.54,16.15,19.75,23.92,0.64
Zach Charbonnet,RB,SEA,NE,8.56,9.78,1.148,0.714,1.143,38.763,6.77,5100.0,0.005,NE_SEA,8.94,8.63,15.71,19.7,24.14,0.7799999999999999
Emeka Egbuka,WR,TB,CIN,5.99,7.28,1.184,0.673,1.215,28.855,8.14,6200.0,0.005,CIN_TB,7.14,5.95,14.75,19.65,25.07,1.02
Khalil Shakir,WR,BUF,HOU,9.57,13.06,1.436,0.684,1.365,51.764,5.97,4800.0,0.005,BUF_HOU,9.68,9.5,15.83,19.61,23.57,0.38
Keenan Allen,WR,LAC,ARI,8.34,12.26,1.443,0.742,1.47,48.593,6.72,4700.0,0.005,ARI_LAC,8.75,8.44,15.43,19.6,24.71,0.86
TreVeyon Henderson,RB,NE,SEA,4.43,4.78,1.12,0.542,1.079,18.946,9.26,5200.0,0.005,NE_SEA,6.19,4.27,13.89,19.55,25.65,1.26
Oronde Gadsden II,TE,LAC,ARI,7.58,9.2,1.192,0.734,1.214,36.465,7.32,3500.0,0.005,ARI_LAC,8.09,7.55,15.08,19.54,24.4,0.84
Devin Neal,RB,NO,DET,10.52,11.73,1.12,0.484,1.115,46.492,5.27,4400.0,0.005,DET_NO,10.61,10.58,15.99,19.43,22.89,0.32
Luther Burden III,WR,CHI,CAR,7.62,9.93,1.29,0.719,1.303,39.358,7.1,5500.0,0.005,CAR_CHI,8.1,7.52,14.89,19.34,23.64,0.66
Gunner Olszewski,WR,NYG,DAL,10.86,13.31,1.19,0.718,1.226,38.024,5.01,3000.0,0.0069,DAL_NYG,10.93,10.92,16.09,19.18,22.21,0.24
Kimani Vidal,RB,LAC,ARI,5.94,7.32,1.22,0.449,1.232,29.013,8.04,4800.0,0.005,ARI_LAC,7.04,6.17,14.33,19.13,24.04,0.7000000000000001
Aaron Jones,RB,MIN,GB,11.54,15.6,1.35,0.557,1.352,61.831,4.51,5300.0,0.005,GB_MIN,11.5,11.5,16.3,18.89,22.05,0.16
Jake Tonges,TE,SF,LA,8.69,10.78,1.28,0.64,1.241,42.727,6.16,3300.0,0.005,LA_SF,8.92,8.59,15.12,18.81,23.26,0.4
Shane Buechele,QB,KC,DEN,3.74,4.1,1.12,1.0,1.096,16.25,9.24,4000.0,0.005,DEN_KC,5.93,3.98,13.16,18.76,25.17,1.1199999999999999
Riley Leonard,QB,IND,BAL,0.93,1.15,1.22,0.0,1.237,4.558,10.66,4400.0,0.005,BAL_IND,4.79,0.98,12.02,18.68,26.27,1.32
Deebo Samuel Sr.,WR,WAS,PHI,7.36,10.02,1.434,0.676,1.361,39.715,6.94,5000.0,0.005,PHI_WAS,7.95,7.44,14.62,18.68,23.23,0.4
Carson Wentz,QB,MIN,GB,11.64,14.39,1.22,0.689,1.236,57.035,4.47,4000.0,0.005,GB_MIN,11.61,11.73,16.24,18.67,21.56,0.08
Greg Dulcich,TE,MIA,LV,12.16,15.94,1.295,0.758,1.311,37.226,3.96,3500.0,0.0085,LV_MIA,12.15,12.12,16.23,18.64,21.47,0.06
Jordan James,RB,SF,LA,5.18,6.1,1.195,1.0,1.178,24.178,8.22,4200.0,0.005,LA_SF,6.52,5.35,13.54,18.64,24.08,0.8999999999999999
Albert Okwuegbunam,TE,LV,MIA,8.57,11.64,1.325,1.0,1.358,23.106,6.09,2500.0,0.01,LV_MIA,8.8,8.51,14.87,18.63,22.26,0.32
Mack Hollins,WR,NE,SEA,10.54,13.0,1.275,0.598,1.233,51.526,4.95,3600.0,0.005,NE_SEA,10.5,10.45,15.69,18.62,22.08,0.12
Stefon Diggs,WR,NE,SEA,7.66,9.45,1.275,0.601,1.234,37.455,6.6,5200.0,0.005,NE_SEA,8.04,7.56,14.48,18.62,23.41,0.58
Jahdae Walker,WR,CHI,CAR,9.66,10.71,1.097,0.774,1.109,42.449,5.34,3100.0,0.005,CAR_CHI,9.77,9.63,15.29,18.45,22.19,0.22
Kyle Monangai,RB,CHI,CAR,8.28,9.37,1.122,0.617,1.132,37.138,6.07,5100.0,0.005,CAR_CHI,8.48,8.15,14.45,18.36,22.63,0.38
Josh Downs,WR,IND,BAL,10.49,12.63,1.195,0.76,1.204,50.059,4.74,5200.0,0.005,BAL_IND,10.47,10.43,15.31,18.17,21.49,0.08
Cooper Kupp,WR,SEA,NE,11.31,16.16,1.436,0.688,1.429,64.051,4.15,4100.0,0.005,NE_SEA,11.32,11.3,15.53,18.07,21.25,0.06
Rachaad White,RB,TB,CIN,9.04,9.4,1.02,0.474,1.04,37.257,5.5,5200.0,0.005,CIN_TB,9.1,8.93,14.84,18.02,21.79,0.12
David Montgomery,RB,DET,NO,6.91,7.81,1.142,0.724,1.13,30.955,6.73,6000.0,0.005,DET_NO,7.32,6.8,13.64,17.96,22.69,0.42
Tyler Huntley,QB,BAL,IND,6.64,8.8,1.32,0.0,1.325,34.879,7.31,4300.0,0.005,BAL_IND,7.15,6.35,14.03,17.91,23.01,0.45999999999999996
James Conner,RB,ARI,LAC,11.55,14.21,1.249,0.714,1.23,34.057,3.97,4200.0,0.0083,ARI_LAC,11.47,11.49,15.65,17.88,20.47,0.0
Justice Hill,RB,BAL,IND,3.14,3.33,1.062,0.732,1.061,13.199,8.56,4200.0,0.005,BAL_IND,5.36,3.39,12.12,17.69,22.89,0.52
Chris Rodriguez Jr.,RB,WAS,PHI,9.59,11.42,1.22,0.656,1.191,45.264,4.84,5100.0,0.005,PHI_WAS,9.75,9.71,14.66,17.68,21.12,0.1
Brian Thomas Jr.,WR,JAX,CLE,9.73,11.14,1.182,0.66,1.145,44.154,4.83,5500.0,0.005,CLE_JAX,9.69,9.71,14.55,17.62,20.69,0.06
Tyjae Spears,RB,TEN,NYJ,8.6,10.0,1.145,0.687,1.163,39.635,5.55,5100.0,0.005,NYJ_TEN,8.73,8.61,14.29,17.61,21.36,0.13999999999999999
